benchmark,model,acq,mean
Polarizability,Knowledge Distillation,ei,0.12854859335038366
Polarizability,Knowledge Distillation,pi,0.1276694373401534
Polarizability,Knowledge Distillation,ucb,0.11523337595907927
Polarizability,Knowledge Distillation,mes,0.11504156010230178
Polarizability,Knowledge Distillation,ts,0.05874360613810731
Polarizability,Progressive,greedy,0.1420236572890025
Polarizability,Progressive,ei,0.13454283887468033
Polarizability,Progressive,pi,0.1416240409207161
Polarizability,Progressive,ucb,0.11492966751918159
Polarizability,Progressive,mes,0.12140345268542199
Polarizability,Progressive,ts,0.05874360613810731
Polarizability,Pseudo-Labeling,greedy,0.13901854219948845
Polarizability,Pseudo-Labeling,ei,0.12274616368286446
Polarizability,Pseudo-Labeling,pi,0.1276694373401534
Polarizability,Pseudo-Labeling,ucb,0.10911125319693094
Polarizability,Pseudo-Labeling,mes,0.10891943734015344
Polarizability,Pseudo-Labeling,ts,0.05874360613810731
Polarizability,Sequential,greedy,0.13972186700767258
Polarizability,Sequential,ei,0.12838874680306908
Polarizability,Sequential,pi,0.12770140664961632
Polarizability,Sequential,ucb,0.1152653452685422
Polarizability,Sequential,mes,0.1150735294117647
Polarizability,Sequential,ts,0.05874360613810731
Polarizability,Soft Parameter Sharing,greedy,0.14242327365728896
Polarizability,Soft Parameter Sharing,ei,0.12902813299232738
Polarizability,Soft Parameter Sharing,pi,0.12850063938618922
Polarizability,Soft Parameter Sharing,ucb,0.13569373401534526
Polarizability,Soft Parameter Sharing,mes,0.13449488491048595
Polarizability,Soft Parameter Sharing,ts,0.05874360613810731
Polarizability,Two-Stage Joint,greedy,0.13956202046035798
Polarizability,Two-Stage Joint,ei,0.14251918158567772
Polarizability,Two-Stage Joint,pi,0.14216751918158566
Polarizability,Two-Stage Joint,ucb,0.134846547314578
Polarizability,Two-Stage Joint,mes,0.12101982097186699
Polarizability,Two-Stage Joint,ts,0.05874360613810731
HOPV15,Adapter,greedy,2.7755
HOPV15,Adapter,ei,2.8609999999999998
HOPV15,Adapter,pi,2.91
HOPV15,Adapter,ucb,2.7944999999999993
HOPV15,Adapter,mes,3.0785000000000005
HOPV15,Adapter,ts,2.4
HOPV15,Curriculum,greedy,2.4095
HOPV15,Curriculum,ei,2.6914999999999996
HOPV15,Curriculum,pi,2.792
HOPV15,Curriculum,ucb,2.7619999999999996
HOPV15,Curriculum,mes,2.860499999999999
HOPV15,Curriculum,ts,2.9025000000000007
HOPV15,DNGO-Gradient,greedy,2.227
HOPV15,DNGO-Gradient,ei,2.5704999999999996
HOPV15,DNGO-Gradient,pi,2.6975
HOPV15,DNGO-Gradient,ucb,2.6169999999999995
HOPV15,DNGO-Gradient,mes,2.7300000000000004
HOPV15,DNGO-Gradient,ts,2.4530000000000003
HOPV15,DNGO-Joint,greedy,2.3884999999999996
HOPV15,DNGO-Joint,ei,2.9210000000000003
HOPV15,DNGO-Joint,pi,2.7009999999999996
HOPV15,DNGO-Joint,ucb,2.5129999999999995
HOPV15,DNGO-Joint,mes,2.3440000000000003
HOPV15,DNGO-Joint,ts,2.4035
HOPV15,Domain Adaptation (MMD),greedy,1.9834999999999998
HOPV15,Domain Adaptation (MMD),ei,2.5764999999999993
HOPV15,Domain Adaptation (MMD),pi,2.7359999999999998
HOPV15,Domain Adaptation (MMD),ucb,2.54
HOPV15,Domain Adaptation (MMD),mes,2.682
HOPV15,Domain Adaptation (MMD),ts,2.2535
